symbol,pdf_url,suspension_date,reason
BCIC.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202504/83c75d0dbc_dd070e62c5.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
FASW.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202504/83c75d0dbc_dd070e62c5.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
FISH.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202504/83c75d0dbc_dd070e62c5.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
FORZ.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202504/83c75d0dbc_dd070e62c5.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
GGRP.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202504/83c75d0dbc_dd070e62c5.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
HDTX.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202504/83c75d0dbc_dd070e62c5.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
KPAL.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202504/83c75d0dbc_dd070e62c5.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
KPAS.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202504/83c75d0dbc_dd070e62c5.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
KRAH.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202504/83c75d0dbc_dd070e62c5.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
LMSH.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202504/83c75d0dbc_dd070e62c5.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
MAMI.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202504/83c75d0dbc_dd070e62c5.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
MFMI.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202504/83c75d0dbc_dd070e62c5.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
MTSM.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202504/83c75d0dbc_dd070e62c5.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
